Distance(m),Left(mm),Right(mm)
0.000,1.35,3.53
1.000,1.30,3.46
2.000,1.49,2.48
3.000,1.49,2.96
4.000,1.28,3.24
5.000,1.34,5.30
6.000,1.42,3.80
7.000,1.44,3.76
8.000,1.53,2.73
9.000,1.72,3.62
10.000,1.68,3.69
11.000,1.58,3.03
12.000,1.44,3.92
13.000,1.45,2.00
14.000,1.47,2.00
15.000,2.67,2.69
16.000,1.61,4.85
17.000,1.81,3.80
18.000,1.51,4.31
19.000,1.56,3.88
20.000,1.99,5.92
21.000,1.64,3.90
22.000,1.63,3.21
23.000,1.83,5.50
24.000,2.64,4.51
25.000,1.90,4.75
26.000,1.88,2.86
27.000,2.11,1.69
28.000,2.21,2.91
29.000,6.19,2.09
30.000,4.16,1.61
31.000,6.12,2.12
32.000,3.14,2.36
33.000,4.70,1.94
34.000,4.76,1.89
35.000,5.67,2.19
36.000,7.50,3.66
37.000,5.21,1.87
38.000,5.87,5.83
39.000,6.63,4.02
40.000,7.42,3.04
41.000,7.72,1.77
42.000,8.47,1.75
43.000,6.52,2.10
44.000,4.42,1.77
45.000,4.17,1.23
46.000,4.71,1.00
47.000,7.32,1.45
48.000,5.96,1.68
49.000,5.72,1.81
50.000,7.42,3.04
51.000,7.72,1.77
52.000,8.47,1.75
53.000,6.52,2.10
54.000,4.42,1.77
55.000,4.17,1.23
56.000,4.71,1.00
57.000,7.32,1.45
58.000,5.96,1.68
59.000,5.72,1.81
60.000,1.44,4.99
61.000,1.30,5.87
62.000,1.34,4.60
63.000,1.70,2.83
64.000,1.43,2.31
65.000,1.61,4.15
66.000,1.66,5.86
67.000,1.79,1.78
68.000,1.39,2.91
69.000,1.37,8.67
70.000,4.80,7.04
71.000,5.26,5.86
72.000,2.08,3.02
73.000,12.47,3.42
74.000,23.68,1.95
75.000,2.12,2.74
76.000,1.88,13.26
77.000,2.05,3.41
78.000,2.50,6.30
79.000,1.75,20.73
80.000,2.48,1.89
81.000,1.82,2.91
82.000,1.85,4.48
83.000,1.73,7.70
84.000,1.75,6.81
85.000,2.71,4.48
86.000,7.37,4.35
87.000,6.21,4.19
88.000,3.87,4.67
89.000,2.14,5.50
90.000,2.65,7.86
91.000,1.93,8.53
92.000,2.83,10.12
93.000,4.50,10.11
94.000,1.89,7.79
95.000,2.83,6.50
96.000,2.38,9.39
97.000,2.31,7.56
98.000,2.57,5.34
99.000,1.73,6.30
100.000,1.90,5.77
101.000,2.00,5.69
102.000,1.49,4.88
103.000,2.65,6.98
104.000,1.63,4.24
105.000,4.64,4.73
106.000,5.62,2.34
107.000,5.85,1.99
108.000,2.12,2.98
109.000,1.84,1.56
110.000,2.97,1.63
111.000,3.40,2.05
112.000,3.86,1.81
113.000,2.36,1.75
114.000,2.56,5.58
115.000,2.65,6.03
116.000,2.38,2.38
117.000,2.57,6.93
118.000,4.24,8.24
119.000,3.04,6.50
120.000,2.97,1.63
121.000,3.40,2.05
122.000,3.86,1.81
123.000,2.36,1.75
124.000,2.56,5.58
125.000,2.65,6.03
126.000,2.38,2.38
127.000,2.57,6.93
128.000,4.24,8.24
129.000,3.04,6.50
130.000,2.04,6.22
131.000,1.57,4.79
132.000,1.79,6.28
133.000,1.94,5.26
134.000,3.88,8.35
135.000,4.67,17.77
136.000,3.49,8.19
137.000,2.49,4.00
138.000,2.65,4.12
139.000,2.42,5.50
140.000,2.84,5.11
141.000,2.65,5.45
142.000,4.63,7.01
143.000,3.87,7.56
144.000,5.61,6.52
145.000,8.44,7.54
146.000,2.03,11.00
147.000,2.52,7.67
148.000,2.39,8.71
149.000,2.54,5.63
150.000,3.41,4.71
151.000,2.04,7.83
152.000,2.22,7.78
153.000,2.46,8.06
154.000,2.63,6.25
155.000,2.92,8.27
156.000,2.99,7.27
157.000,2.77,9.10
158.000,2.04,8.40
159.000,3.35,7.84
160.000,5.87,6.78
161.000,6.76,6.35
162.000,7.86,7.56
163.000,4.63,9.31
164.000,4.80,6.90
165.000,6.35,4.77
166.000,7.15,4.75
167.000,7.44,4.62
168.000,7.17,5.23
169.000,10.12,4.53
170.000,11.23,3.57
171.000,10.91,2.22
172.000,5.71,3.80
173.000,7.02,5.15
174.000,6.84,6.12
175.000,3.32,4.44
176.000,2.60,2.54
177.000,2.80,2.18
178.000,3.69,2.58
179.000,7.86,2.79
180.000,4.19,2.68
181.000,2.99,2.97
182.000,3.73,2.68
183.000,1.35,2.12
184.000,3.00,2.15
185.000,1.66,1.76
186.000,1.67,1.93
187.000,2.51,1.83
188.000,2.05,2.86
189.000,2.56,2.33
190.000,2.49,3.76
191.000,1.98,4.92
192.000,2.76,2.30
193.000,1.82,2.82
194.000,2.54,2.00
195.000,2.10,3.00
196.000,3.70,3.85
197.000,2.53,3.75
198.000,1.61,2.18
199.000,2.16,6.53
