[0] Dist:7550.0 I: 104.057 P: 100.000, G: 1.000, D:-5.943, E:237
[1] Dist:7550.0 I: 101.101 P: 100.000, G: 1.000, D:-8.899, E:141
[0] Dist:20000.0 I: 108.289 P: 100.000, G: 1.000, D:-1.711, E:237
[1] Dist:20000.0 I: 102.513 P: 100.000, G: 1.000, D:-7.487, E:141
[0] Dist:30000.0 I: 111.100 P: 100.000, G: 1.000, D:1.100, E:237
[1] Dist:30000.0 I: 106.717 P: 100.000, G: 1.000, D:-3.283, E:141
[0] Dist:40000.0 I: 112.537 P: 100.000, G: 1.000, D:2.537, E:237
[1] Dist:40000.0 I: 106.234 P: 100.000, G: 1.000, D:-3.766, E:141
[0] Dist:50000.0 I: 112.430 P: 100.000, G: 1.000, D:2.430, E:237
[1] Dist:50000.0 I: 106.196 P: 100.000, G: 1.000, D:-3.804, E:141
[0] Dist:57500.0 I: 113.947 P: 100.000, G: 1.000, D:3.947, E:237
[1] Dist:57500.0 I: 109.329 P: 100.000, G: 1.000, D:-0.671, E:141
[0] Dist:66750.0 I: 111.579 P: 100.000, G: 1.000, D:1.579, E:237
[1] Dist:66750.0 I: 110.446 P: 100.000, G: 1.000, D:0.446, E:141
[0] Dist:70000.0 I: 111.261 P: 100.000, G: 1.000, D:1.261, E:237
[1] Dist:70000.0 I: 110.408 P: 100.000, G: 1.000, D:0.408, E:141
[0] Dist:75150.0 I: 113.059 P: 100.000, G: 1.000, D:3.059, E:237
[1] Dist:75150.0 I: 115.525 P: 100.000, G: 1.000, D:5.525, E:141
[0] Dist:80000.0 I: 115.613 P: 100.000, G: 1.000, D:5.613, E:237
[1] Dist:80000.0 I: 116.411 P: 100.000, G: 1.000, D:6.411, E:141
[0] Dist:90000.0 I: 114.400 P: 100.000, G: 1.000, D:4.400, E:237
[1] Dist:90000.0 I: 115.951 P: 100.000, G: 1.000, D:5.951, E:141
[0] Dist:99600.0 I: 117.272 P: 100.000, G: 1.000, D:7.272, E:237
[1] Dist:99600.0 I: 121.656 P: 100.000, G: 1.000, D:11.656, E:141
[0] Dist:110000.0 I: 115.068 P: 100.000, G: 1.000, D:5.068, E:237
[1] Dist:110000.0 I: 119.816 P: 100.000, G: 1.000, D:9.816, E:140
[0] Dist:120000.0 I: 112.308 P: 100.000, G: 1.000, D:2.308, E:237
[1] Dist:120000.0 I: 117.594 P: 100.000, G: 1.000, D:7.594, E:139
[0] Dist:129700.0 I: 111.082 P: 100.000, G: 1.000, D:1.082, E:237
[1] Dist:129700.0 I: 120.183 P: 100.000, G: 1.000, D:10.183, E:139
[0] Dist:135900.0 I: 110.800 P: 100.000, G: 1.000, D:0.800, E:237
[1] Dist:135900.0 I: 119.848 P: 100.000, G: 1.000, D:9.848, E:138
[0] Dist:140000.0 I: 112.732 P: 100.000, G: 1.000, D:2.732, E:237
[1] Dist:140000.0 I: 122.538 P: 100.000, G: 1.000, D:12.538, E:137
[0] Dist:150000.0 I: 112.397 P: 100.000, G: 1.000, D:2.397, E:237
[1] Dist:150000.0 I: 120.923 P: 100.000, G: 1.000, D:10.923, E:136
[0] Dist:160000.0 I: 113.856 P: 100.000, G: 1.000, D:3.856, E:237
[1] Dist:160000.0 I: 120.817 P: 100.000, G: 1.000, D:10.817, E:135
[0] Dist:170000.0 I: 113.309 P: 100.000, G: 1.000, D:3.309, E:237
[1] Dist:170000.0 I: 119.240 P: 100.000, G: 1.000, D:9.240, E:134
[0] Dist:180000.0 I: 117.486 P: 100.000, G: 1.000, D:7.486, E:237
[1] Dist:180000.0 I: 122.682 P: 100.000, G: 1.000, D:12.682, E:133
